anime_id,title,score,popularity,release_year
28977,Gintama°,9.05,347,2015
11061,Hunter x Hunter (2011),9.03,8,2011
52991,Sousou no Frieren,9.29,121,2023
9969,Gintama',9.02,406,2011
15417,Gintama': Enchousen,9.02,756,2012
38524,Shingeki no Kyojin Season 3 Part 2,9.05,21,2019
34096,Gintama.,8.98,786,2017
41467,Bleach: Sennen Kessen-hen,8.99,353,2022
5114,Fullmetal Alchemist: Brotherhood,9.1,3,2009
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,165,2022
918,Gintama,8.93,146,2006
4181,Clannad: After Story,8.93,123,2008
2904,Code Geass: Hangyaku no Lelouch R2,8.91,47,2008
19,Monster,8.89,119,2004
54492,Kusuriya no Hitorigoto,8.86,297,2023
35180,3-gatsu no Lion 2nd Season,8.9,598,2017
40682,Kingdom 3rd Season,8.84,1968,2020
9253,Steins;Gate,9.07,14,2011
42938,Fruits Basket: The Final,8.94,448,2021
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,1233,2018
37510,Mob Psycho 100 II,8.78,73,2019
263,Hajime no Ippo,8.78,351,2000
37521,Vinland Saga,8.77,63,2019
17074,Monogatari Series: Second Season,8.76,324,2013
40028,Shingeki no Kyojin: The Final Season,8.78,31,2020
50160,Kingdom 4th Season,8.73,2592,2022
47917,Bocchi the Rock!,8.74,300,2022
36838,Gintama. Shirogane no Tamashii-hen,8.81,1177,2018
49387,Vinland Saga Season 2,8.82,271,2023
53223,Kingdom 5th Season,8.72,3244,2024
48569,86 Part 2,8.72,398,2021
24701,Mushishi Zoku Shou 2nd Season,8.72,939,2014
39894,Hibike! Euphonium 3,8.72,2432,2024
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,8.72,940,2024
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,116,2016
48583,Shingeki no Kyojin: The Final Season Part 2,8.77,93,2022
50172,Mob Psycho 100 III,8.71,260,2022
47778,Kimetsu no Yaiba: Yuukaku-hen,8.71,74,2021
51009,Jujutsu Kaisen 2nd Season,8.72,118,2023
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,683,2023
33352,Violet Evergarden,8.69,46,2018
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,1358,2017
457,Mushishi,8.65,223,2005
21939,Mushishi Zoku Shou,8.68,848,2014
1575,Code Geass: Hangyaku no Lelouch,8.71,22,2006
52215,Chi. Chikyuu no Undou ni Tsuite,8.7,1076,2024
23273,Shigatsu wa Kimi no Uso,8.64,24,2014
34599,Made in Abyss,8.63,91,2017
11665,Natsume Yuujinchou Shi,8.63,1044,2012
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,98,2020
5258,Hajime no Ippo: New Challenger,8.67,861,2009
2001,Tengen Toppa Gurren Lagann,8.64,66,2007
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,1021,2024
46102,Odd Taxi,8.63,510,2021
35760,Shingeki no Kyojin Season 3,8.64,18,2018
22135,Ping Pong the Animation,8.63,603,2014
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.62,162,2021
1535,Death Note,8.62,2,2006
28891,Haikyuu!! Second Season,8.62,87,2015
34591,Natsume Yuujinchou Roku,8.61,1336,2017
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,148,2018
55823,Natsume Yuujinchou Shichi,8.58,3311,2024
